Date,Open,Stock
2021-03-24,160.100006,JNJ
2021-03-25,162.440002,JNJ
2021-03-26,162.089996,JNJ
2021-03-29,163.830002,JNJ
2021-03-30,165.020004,JNJ
2021-03-31,164.960007,JNJ
2021-04-01,162.600006,JNJ
2021-04-05,163.639999,JNJ
2021-04-06,164.080002,JNJ
2021-04-07,163.550003,JNJ
2021-04-08,164.0,JNJ
2021-04-09,162.119995,JNJ
2021-04-12,161.089996,JNJ
2021-04-13,156.860001,JNJ
2021-04-14,157.830002,JNJ
2021-04-15,160.720001,JNJ
2021-04-16,161.339996,JNJ
2021-04-19,162.5,JNJ
2021-04-20,161.0,JNJ
2021-04-21,166.369995,JNJ
2021-01-04,127.5,JPM
2021-01-05,124.989998,JPM
2021-01-06,129.880005,JPM
2021-01-07,135.690002,JPM
2021-01-08,135.970001,JPM
2021-01-11,134.580002,JPM
2021-01-12,139.440002,JPM
2021-01-13,138.589996,JPM
2021-01-14,140.490005,JPM
2021-01-15,137.429993,JPM
2021-01-19,139.860001,JPM
2021-01-20,137.820007,JPM
2021-01-21,135.690002,JPM
2021-01-22,132.690002,JPM
2021-01-25,132.139999,JPM
2021-01-26,132.75,JPM
2021-01-27,129.589996,JPM
2021-01-28,129.899994,JPM
2021-01-29,131.190002,JPM
2021-02-01,129.399994,JPM
2021-02-02,131.940002,JPM
2021-02-03,133.649994,JPM
2021-02-04,135.470001,JPM
2021-02-05,139.389999,JPM
2021-02-08,138.199997,JPM
2021-02-09,139.429993,JPM
2021-02-10,140.0,JPM
2021-02-11,139.660004,JPM
2021-02-12,139.050003,JPM
2021-02-16,143.550003,JPM
2021-02-17,143.949997,JPM
2021-02-18,144.0,JPM
2021-02-19,145.860001,JPM
2021-02-22,146.869995,JPM
2021-02-23,151.509995,JPM
2021-02-24,150.110001,JPM
2021-02-25,154.270004,JPM
2021-02-26,150.300003,JPM
2021-03-01,149.520004,JPM
2021-03-02,150.080002,JPM
2021-03-03,151.229996,JPM
2021-03-04,152.610001,JPM
2021-03-05,153.220001,JPM
2021-03-08,152.470001,JPM
2021-03-09,151.5,JPM
2021-03-10,151.910004,JPM
2021-03-11,154.110001,JPM
2021-03-12,156.860001,JPM
2021-03-15,156.350006,JPM
2021-03-16,154.089996,JPM
2021-03-17,155.339996,JPM
2021-03-18,157.600006,JPM
2021-03-19,155.509995,JPM
2021-03-22,152.800003,JPM
2021-03-23,150.330002,JPM
2021-03-24,150.0,JPM
2021-03-25,150.0,JPM
2021-03-26,154.300003,JPM
2021-03-29,152.119995,JPM
2021-03-30,154.460007,JPM
2021-03-31,153.279999,JPM
2021-04-01,151.899994,JPM
2021-04-05,154.399994,JPM
2021-04-06,152.789993,JPM
2021-04-07,153.100006,JPM
2021-04-08,154.0,JPM
2021-04-09,155.809998,JPM
2021-04-12,155.580002,JPM
2021-04-13,154.75,JPM
2021-04-14,151.470001,JPM
2021-04-15,151.25,JPM
2021-04-16,153.869995,JPM
2021-04-19,153.419998,JPM
2021-04-20,151.740005,JPM
2021-04-21,147.789993,JPM
2021-01-04,222.529999,MSFT
2021-01-05,217.259995,MSFT
2021-01-06,212.169998,MSFT
2021-01-07,214.039993,MSFT
2021-01-08,218.679993,MSFT
2021-01-11,218.470001,MSFT
2021-01-12,216.5,MSFT
2021-01-13,214.020004,MSFT
2021-01-14,215.910004,MSFT
2021-01-15,213.520004,MSFT
2021-01-19,213.75,MSFT
2021-01-20,217.699997,MSFT
2021-01-21,224.699997,MSFT
2021-01-22,227.080002,MSFT
2021-01-25,229.119995,MSFT
2021-01-26,231.860001,MSFT
2021-01-27,238.0,MSFT
2021-01-28,235.610001,MSFT
2021-01-29,235.990005,MSFT
2021-02-01,235.059998,MSFT
2021-02-02,241.300003,MSFT
2021-02-03,239.570007,MSFT
2021-02-04,242.660004,MSFT
2021-02-05,242.229996,MSFT
2021-02-08,243.149994,MSFT
2021-02-09,241.869995,MSFT
2021-02-10,245.0,MSFT
2021-02-11,244.779999,MSFT
2021-02-12,243.929993,MSFT
2021-02-16,245.029999,MSFT
2021-02-17,241.320007,MSFT
2021-02-18,241.800003,MSFT
2021-02-19,243.75,MSFT
2021-02-22,237.419998,MSFT
2021-02-23,230.330002,MSFT
2021-02-24,230.009995,MSFT
2021-02-25,232.080002,MSFT
2021-02-26,231.529999,MSFT
2021-03-01,235.899994,MSFT
2021-03-02,237.009995,MSFT
2021-03-03,232.160004,MSFT
2021-03-04,226.740005,MSFT
2021-03-05,229.520004,MSFT
2021-03-08,231.369995,MSFT
2021-03-09,232.880005,MSFT
2021-03-10,237.0,MSFT
2021-03-11,234.960007,MSFT
2021-03-12,234.009995,MSFT
2021-03-15,234.960007,MSFT
2021-03-16,236.279999,MSFT
2021-03-17,236.149994,MSFT
2021-03-18,232.559998,MSFT
2021-03-19,231.020004,MSFT
2021-03-22,230.270004,MSFT
2021-03-23,237.490005,MSFT
2021-03-24,237.850006,MSFT
2021-03-25,235.300003,MSFT
2021-03-26,231.550003,MSFT
2021-03-29,236.589996,MSFT
2021-03-30,233.529999,MSFT
2021-03-31,232.910004,MSFT
2021-04-01,238.470001,MSFT
2021-04-05,242.759995,MSFT
2021-04-06,247.610001,MSFT
2021-04-07,247.809998,MSFT
2021-04-08,252.770004,MSFT
2021-04-09,252.869995,MSFT
2021-04-12,254.710007,MSFT
2021-04-13,257.26001,MSFT
2021-04-14,257.480011,MSFT
2021-04-15,257.929993,MSFT
2021-04-16,259.470001,MSFT
2021-04-19,260.190002,MSFT
2021-04-20,257.820007,MSFT
2021-04-21,258.940002,MSFT
2021-01-04,719.460022,TSLA
2021-01-05,723.659973,TSLA
2021-01-06,758.48999,TSLA
2021-01-07,777.630005,TSLA
2021-01-08,856.0,TSLA
2021-01-11,849.400024,TSLA
2021-01-12,831.0,TSLA
2021-01-13,852.76001,TSLA
2021-01-14,843.390015,TSLA
2021-01-15,852.0,TSLA
2021-01-19,837.799988,TSLA
2021-01-20,858.73999,TSLA
2021-01-21,855.0,TSLA
2021-01-22,834.309998,TSLA
2021-01-25,855.0,TSLA
2021-01-26,891.380005,TSLA
2021-01-27,870.349976,TSLA
2021-01-28,820.0,TSLA
2021-01-29,830.0,TSLA
2021-02-01,814.289978,TSLA
2021-02-02,844.679993,TSLA
2021-02-03,877.02002,TSLA
2021-02-04,855.0,TSLA
2021-02-05,845.0,TSLA
2021-02-08,869.669983,TSLA
2021-02-09,855.119995,TSLA
2021-02-10,843.640015,TSLA
2021-02-11,812.440002,TSLA
2021-02-12,801.26001,TSLA
2021-02-16,818.0,TSLA
2021-02-17,779.090027,TSLA
2021-02-18,780.900024,TSLA
2021-02-19,795.0,TSLA
2021-02-22,762.640015,TSLA
2021-02-23,662.130005,TSLA
2021-02-24,711.849976,TSLA
2021-02-25,726.150024,TSLA
2021-02-26,700.0,TSLA
2021-03-01,690.109985,TSLA
2021-03-02,718.280029,TSLA
2021-03-03,687.98999,TSLA
2021-03-04,655.799988,TSLA
2021-03-05,626.059998,TSLA
2021-03-08,600.549988,TSLA
2021-03-09,608.179993,TSLA
2021-03-10,700.299988,TSLA
2021-03-11,699.400024,TSLA
2021-03-12,670.0,TSLA
2021-03-15,694.090027,TSLA
2021-03-16,703.349976,TSLA
2021-03-17,656.869995,TSLA
2021-03-18,684.289978,TSLA
2021-03-19,646.599976,TSLA
2021-03-22,684.590027,TSLA
2021-03-23,675.77002,TSLA
2021-03-24,667.909973,TSLA
2021-03-25,613.0,TSLA
2021-03-26,641.869995,TSLA
2021-03-29,615.640015,TSLA
2021-03-30,601.75,TSLA
2021-03-31,646.619995,TSLA
2021-04-01,688.369995,TSLA
2021-04-05,707.710022,TSLA
2021-04-06,690.299988,TSLA
2021-04-07,687.0,TSLA
2021-04-08,677.380005,TSLA
2021-04-09,677.77002,TSLA
2021-04-12,685.700012,TSLA
2021-04-13,712.700012,TSLA
2021-04-14,770.700012,TSLA
2021-04-15,743.099976,TSLA
2021-04-16,728.650024,TSLA
2021-04-19,719.599976,TSLA
2021-04-20,717.419983,TSLA
2021-04-21,704.77002,TSLA
2021-01-04,144.300003,WMT
2021-01-05,146.600006,WMT
2021-01-06,145.089996,WMT
2021-01-07,147.619995,WMT
2021-01-08,146.880005,WMT
2021-01-11,146.0,WMT
2021-01-12,149.0,WMT
2021-01-13,148.75,WMT
2021-01-14,147.820007,WMT
2021-01-15,145.139999,WMT
2021-01-19,144.639999,WMT
2021-01-20,143.589996,WMT
2021-01-21,145.360001,WMT
2021-01-22,145.600006,WMT
2021-01-25,145.360001,WMT
2021-01-26,145.630005,WMT
2021-01-27,146.960007,WMT
2021-01-28,144.460007,WMT
2021-01-29,143.179993,WMT
2021-02-01,140.910004,WMT
2021-02-02,139.759995,WMT
2021-02-03,140.660004,WMT
2021-02-04,141.789993,WMT
2021-02-05,143.460007,WMT
2021-02-08,144.809998,WMT
2021-02-09,144.580002,WMT
2021-02-10,145.830002,WMT
2021-02-11,144.139999,WMT
2021-02-12,144.160004,WMT
2021-02-16,145.940002,WMT
2021-02-17,144.649994,WMT
2021-02-18,139.0,WMT
2021-02-19,137.800003,WMT
2021-02-22,137.740005,WMT
2021-02-23,137.110001,WMT
2021-02-24,135.869995,WMT
2021-02-25,133.100006,WMT
2021-02-26,131.479996,WMT
2021-03-01,131.580002,WMT
2021-03-02,131.509995,WMT
2021-03-03,129.5,WMT
2021-03-04,127.860001,WMT
2021-03-05,126.830002,WMT
2021-03-08,129.330002,WMT
2021-03-09,128.800003,WMT
2021-03-10,128.860001,WMT
2021-03-11,133.360001,WMT
2021-03-12,132.520004,WMT
2021-03-15,134.740005,WMT
2021-03-16,132.820007,WMT
2021-03-17,132.5,WMT
2021-03-18,131.160004,WMT
2021-03-19,130.130005,WMT
2021-03-22,131.0,WMT
2021-03-23,131.710007,WMT
2021-03-24,134.429993,WMT
2021-03-25,133.259995,WMT
2021-03-26,134.0,WMT
2021-03-29,135.0,WMT
2021-03-30,136.330002,WMT
2021-03-31,135.550003,WMT
2021-04-01,135.940002,WMT
2021-04-05,136.720001,WMT
2021-04-06,139.110001,WMT
2021-04-07,140.300003,WMT
2021-04-08,140.449997,WMT
2021-04-09,139.630005,WMT
2021-04-12,140.070007,WMT
2021-04-13,139.800003,WMT
2021-04-14,139.119995,WMT
2021-04-15,139.399994,WMT
2021-04-16,140.889999,WMT
2021-04-19,140.289993,WMT
2021-04-20,139.419998,WMT
2021-04-21,140.770004,WMT
